Fidelity,x
0.5791519530666359,-0.95
0.579463987336212,-0.85
0.5768829168386654,-0.75
0.5652991651837584,-0.65
0.5553897996522124,-0.55
0.5515217038768498,-0.45000000000000007
0.5529149724758156,-0.3500000000000001
0.5587618982970832,-0.2500000000000001
0.566584749227207,-0.15000000000000013
0.5697429811570743,-0.050000000000000155
0.9993436279302558,0.04999999999999982
0.9997551976886803,0.1499999999999997
0.9999818457212999,0.24999999999999978
0.9999763937929466,0.34999999999999987
0.9998794701301552,0.44999999999999973
0.9997873743310135,0.5499999999999996
0.9997349074722436,0.6499999999999997
0.9996916998651669,0.7499999999999998
0.9995920387681339,0.8499999999999996
0.9994925544733367,0.9499999999999995
