x,y,quantum_beta,classical_beta
-1.0,0.11920292202211757,0.012929999999999886,0.1192
-0.95,0.13010847436299788,0.09888450000000004,0.130524
-0.9,0.14185106490048782,0.10528099999999996,0.14185099999999998
-0.85,0.1544652650835347,0.14914649999999996,0.15491649999999998
-0.8,0.16798161486607555,0.14869999999999994,0.16798800000000003
-0.75,0.18242552380635635,0.18069499999999994,0.18290500000000004
-0.7000000000000001,0.19781611144141825,0.18639799999999995,0.19781699999999997
-0.65,0.2141650169574414,0.21358099999999997,0.21464649999999996
-0.6000000000000001,0.23147521650098235,0.22454000000000002,0.23147399999999999
-0.55,0.24973989440488237,0.249645,0.25020699999999996
-0.5000000000000001,0.2689414213699951,0.2650299999999999,0.26893999999999996
-0.4500000000000001,0.289050497374996,0.28920099999999993,0.28948199999999996
-0.40000000000000013,0.3100255188723875,0.30833399999999994,0.31002799999999997
-0.35000000000000014,0.33181222783183384,0.3320759999999999,0.3321869999999999
-0.30000000000000016,0.3543436937742045,0.35429599999999994,0.35434299999999996
-0.25000000000000017,0.37754066879814535,0.3778299999999999,0.3778274999999999
-0.20000000000000018,0.4013123398875479,0.40235999999999994,0.40131199999999995
-0.1500000000000002,0.4255574831883409,0.42579749999999994,0.4257389999999999
-0.1000000000000002,0.450166002687522,0.45165899999999987,0.4501659999999999
-0.0500000000000002,0.47502081252105993,0.47515449999999987,0.4750829999999999
-2.220446049250313e-16,0.4999999999999999,0.5011699999999999,0.4999999999999999
0.04999999999999978,0.5249791874789399,0.5249704999999999,0.5249169999999999
0.09999999999999964,0.5498339973124777,0.5499939999999998,0.5498339999999998
0.14999999999999963,0.5744425168116588,0.5742659999999997,0.5742609999999998
0.19999999999999962,0.5986876601124518,0.5985379999999998,0.5986879999999998
0.19999999999999973,0.5986876601124519,0.5974519999999999,0.5986879999999999
0.24999999999999972,0.6224593312018545,0.6221274999999999,0.6221724999999999
0.2999999999999997,0.6456563062257953,0.6468029999999999,0.6456569999999999
0.2999999999999998,0.6456563062257954,0.642859,0.645654
0.3499999999999998,0.668187772168166,0.6677204999999999,0.667813
0.3999999999999997,0.6899744811276123,0.6855599999999998,0.6899759999999999
0.4499999999999997,0.7109495026250039,0.7103749999999998,0.7105179999999999
0.49999999999999956,0.7310585786300047,0.7250549999999998,0.7310599999999998
0.5499999999999996,0.7502601055951175,0.7496274999999998,0.7497929999999999
0.5999999999999996,0.7685247834990175,0.7741999999999998,0.7685259999999999
0.5999999999999996,0.7685247834990175,0.7609899999999998,0.7685239999999999
0.6499999999999997,0.7858349830425585,0.7851574999999998,0.7853534999999999
0.6999999999999997,0.8021838885585817,0.8093249999999999,0.8021829999999999
0.6999999999999997,0.8021838885585817,0.7932229999999998,0.8021779999999998
0.7499999999999998,0.8175744761936437,0.8168924999999998,0.8170949999999999
0.7999999999999996,0.8320183851339243,0.8216899999999998,0.8320179999999999
0.8499999999999996,0.8455347349164652,0.8448674999999999,0.8450834999999999
0.8999999999999995,0.8581489350995121,0.8466129999999998,0.8581519999999999
0.9499999999999995,0.8698915256370021,0.8692464999999998,0.8694759999999999
0.9999999999999996,0.8807970779778824,0.8918799999999998,0.8807999999999999
