x,y,quantum_beta,classical_beta
-1.0,0.01798620996209156,-0.0295,0.017979999999999996
-0.95,0.021881270936130476,-0.02109649999999999,0.0222855
-0.9,0.026596993576865856,0.038999000000000006,0.02659900000000001
-0.85,0.032295464698450516,0.006078499999999987,0.032883500000000024
-0.8,0.039165722796764356,0.025863999999999998,0.039166000000000006
-0.75,0.04742587317756678,0.04515000000000002,0.04824500000000001
-0.7000000000000001,0.05732417589886873,0.05684499999999998,0.05731699999999998
-0.65,0.06913842034334682,0.0701725,0.07024149999999998
-0.6000000000000001,0.08317269649392235,0.08915999999999999,0.08316999999999997
-0.55,0.09975048911968513,0.10197499999999998,0.101185
-0.5000000000000001,0.11920292202211753,0.13079,0.11920499999999992
-0.4500000000000001,0.14185106490048774,0.14495599999999997,0.14359449999999993
-0.40000000000000013,0.16798161486607543,0.18510399999999996,0.1679839999999999
-0.35000000000000014,0.19781611144141814,0.20156349999999995,0.19973099999999994
-0.30000000000000016,0.23147521650098227,0.2536419999999999,0.23147999999999988
-0.25000000000000017,0.268941421369995,0.27290499999999995,0.27075499999999986
-0.20000000000000018,0.3100255188723874,0.3357739999999999,0.3100259999999998
-0.1500000000000002,0.3543436937742044,0.3579029999999999,0.3556694999999998
-0.1000000000000002,0.40131233988754783,0.4280689999999999,0.4013119999999998
-0.0500000000000002,0.45016600268752194,0.4526794999999999,0.45065599999999983
-2.220446049250313e-16,0.4999999999999998,0.5243499999999999,0.4999999999999998
0.04999999999999978,0.5498339973124777,0.5509114999999999,0.5493439999999998
0.09999999999999964,0.5986876601124517,0.6172099999999998,0.5986869999999996
0.14999999999999963,0.6456563062257951,0.6453299999999997,0.6443304999999996
0.19999999999999962,0.6899744811276122,0.6734499999999998,0.6899739999999996
0.19999999999999973,0.6899744811276123,0.7004319999999998,0.6899699999999998
0.24999999999999972,0.7310585786300047,0.7297149999999999,0.7292449999999997
0.2999999999999997,0.7685247834990174,0.7589979999999998,0.7685199999999998
0.2999999999999998,0.7685247834990175,0.77045,0.7685219999999999
0.3499999999999998,0.8021838885585817,0.800345,0.8002689999999999
0.3999999999999997,0.8320183851339243,0.8263339999999998,0.8320159999999999
0.4499999999999997,0.8581489350995121,0.8562394999999998,0.8564054999999999
0.49999999999999956,0.8807970779778823,0.8691099999999996,0.8807999999999998
0.5499999999999996,0.9002495108803147,0.8985089999999998,0.8988149999999999
0.5999999999999996,0.9168273035060774,0.9279079999999997,0.9168299999999998
0.5999999999999996,0.9168273035060774,0.9008919999999998,0.9168339999999999
0.6499999999999997,0.9308615796566531,0.9294029999999998,0.9297584999999999
0.6999999999999997,0.9426758241011313,0.9579139999999998,0.9426829999999999
0.6999999999999997,0.9426758241011313,0.9239759999999998,0.942676
0.7499999999999998,0.9525741268224331,0.9514049999999998,0.9517549999999999
0.7999999999999996,0.9608342772032354,0.9403959999999998,0.960832
0.8499999999999996,0.9677045353015494,0.9667794999999999,0.9671164999999999
0.8999999999999995,0.973403006423134,0.9520629999999997,0.973409
0.9499999999999995,0.9781187290638694,0.9773814999999997,0.9777144999999999
0.9999999999999996,0.9820137900379085,1.0026999999999997,0.9820199999999999
