x,y,quantum_beta,classical_beta
-1.0,1.0,0.7570999999999994,1.0
-0.95,1.0,0.9757935,1.0
-0.9,1.0,0.8357000000000001,1.0
-0.85,1.0,0.9882850000000003,1.0
-0.8,1.0,0.8740419999999998,1.0
-0.75,1.0,0.9929099999999997,1.0
-0.7000000000000001,1.0,0.8934040000000003,1.0
-0.65,1.0,0.9948430000000004,1.0
-0.6000000000000001,1.0,0.9083979999999998,1.0
-0.55,1.0,0.9961389999999999,1.0
-0.5000000000000001,1.0,0.9214699999999998,1.0
-0.4500000000000001,1.0,0.9971309999999999,1.0
-0.40000000000000013,1.0,0.9323839999999998,1.0
-0.35000000000000014,1.0,0.9978534999999997,1.0
-0.30000000000000016,1.0,0.9413459999999998,1.0
-0.25000000000000017,1.0,0.9983749999999998,1.0
-0.20000000000000018,1.0,0.9484659999999999,1.0
-0.1500000000000002,1.0,0.9987369999999999,1.0
-0.1000000000000002,1.0,0.9535949999999997,1.0
-0.0500000000000002,1.0,0.9989724999999997,1.0
-2.220446049250313e-16,1.0,1.0024899999999999,0.9999999999999998
0.04999999999999978,1.0499999999999998,1.0501094999999998,1.0499999999999998
0.09999999999999964,1.0999999999999996,1.1014049999999995,1.0999999999999996
0.14999999999999963,1.1499999999999997,1.1500624999999995,1.1499999999999997
0.19999999999999962,1.1999999999999997,1.1987199999999996,1.1999999999999997
0.19999999999999973,1.1999999999999997,1.2003519999999999,1.1999999999999997
0.24999999999999972,1.2499999999999998,1.2500124999999997,1.2499999999999998
0.2999999999999997,1.2999999999999998,1.2996729999999999,1.2999999999999998
0.2999999999999998,1.2999999999999998,1.29962,1.2999999999999998
0.3499999999999998,1.3499999999999999,1.34998,1.3499999999999999
0.3999999999999997,1.3999999999999997,1.3992159999999998,1.3999999999999997
0.4499999999999997,1.4499999999999997,1.4499754999999996,1.4499999999999997
0.49999999999999956,1.4999999999999996,1.4990299999999994,1.4999999999999996
0.5499999999999996,1.5499999999999996,1.5499739999999995,1.5499999999999996
0.5999999999999996,1.5999999999999996,1.6009179999999996,1.5999999999999996
0.5999999999999996,1.5999999999999996,1.5989839999999997,1.5999999999999996
0.6499999999999997,1.6499999999999997,1.6499734999999998,1.6499999999999997
0.6999999999999997,1.6999999999999997,1.7009629999999998,1.6999999999999997
0.6999999999999997,1.6999999999999997,1.6989599999999998,1.6999999999999997
0.7499999999999998,1.7499999999999998,1.7499649999999998,1.7499999999999998
0.7999999999999996,1.7999999999999996,1.7988779999999995,1.7999999999999996
0.8499999999999996,1.8499999999999996,1.8499709999999996,1.8499999999999996
0.8999999999999995,1.8999999999999995,1.8988189999999994,1.8999999999999995
0.9499999999999995,1.9499999999999995,1.9499744999999995,1.9499999999999995
0.9999999999999996,1.9999999999999996,2.0011299999999994,1.9999999999999996
