x,y,full_quantum,hybrid_quantum,classical_spline
-1.0,0.0,0.0,-0.12144999999999984,0.0
-0.91,0.0,0.16973094517500337,0.07537460000000018,0.0
-0.9,0.0,0.05182226234930312,-0.08214499999999991,0.0
-0.81,0.0,0.19390115071860714,0.055181499999999994,0.0
-0.8,0.0,0.09757809372497497,-0.06298399999999993,0.0
-0.7100000000000001,0.0,0.29064180058966055,0.04399720000000007,0.0
-0.7000000000000001,0.0,0.2665425329567497,-0.05330299999999988,0.0
-0.6100000000000001,0.0,0.29315098498896436,0.037992100000000084,0.0
-0.6000000000000001,0.0,0.31054073303674673,-0.04579600000000006,0.0
-0.5100000000000001,0.0,0.3647692978102735,0.03317089999999989,0.0
-0.5000000000000001,0.0,0.3576725981956124,-0.039265000000000105,0.0
-0.4100000000000001,0.0,0.43694160794092385,0.028829899999999964,0.0
-0.40000000000000013,0.0,0.43385760552858815,-0.03381000000000006,0.0
-0.3100000000000001,0.0,0.5168073565169133,0.02511299999999994,0.0
-0.30000000000000016,0.0,0.5245440728623287,-0.029327000000000103,0.0
-0.21000000000000013,0.0,0.5955974547670599,0.021999099999999938,0.0
-0.20000000000000018,0.0,0.6111752254877483,-0.025772000000000073,0.0
-0.11000000000000017,0.0,0.6726013515634651,0.019471899999999875,0.0
-0.1000000000000002,0.0,0.689981317681863,-0.02320700000000009,0.0
-0.01000000000000019,0.0,0.7508133610458727,0.017632299999999934,0.0
-2.220446049250313e-16,0.0,0.7088310138883597,0.024989999999999846,-2.220446049250313e-16
0.08999999999999979,0.08999999999999979,0.755998150212684,0.07293839999999985,0.08999999999999975
0.09999999999999964,0.09999999999999964,0.7662624897024518,0.12272399999999983,0.09999999999999964
0.18999999999999967,0.18999999999999967,0.8210190409637282,0.17414459999999987,0.18999999999999972
0.19999999999999973,0.19999999999999973,0.8351705009307979,0.22062399999999982,0.19999999999999973
0.28999999999999976,0.28999999999999976,0.8777857440742587,0.2753817999999999,0.2899999999999998
0.2999999999999998,0.2999999999999998,0.8801466940942289,0.31877599999999995,0.2999999999999998
0.38999999999999985,0.38999999999999985,0.9158969306095528,0.37653079999999994,0.3899999999999999
0.3999999999999997,0.3999999999999997,0.9071923979371741,0.4172039999999997,0.3999999999999997
0.4899999999999997,0.4899999999999997,0.936066612546885,0.4775318999999998,0.48999999999999977
0.49999999999999956,0.49999999999999956,0.9424349281250138,0.5158899999999997,0.49999999999999956
0.5899999999999995,0.5899999999999995,0.9624289746521558,0.5784003999999996,0.5899999999999994
0.5999999999999996,0.5999999999999996,0.963823157080696,0.6147659999999997,0.5999999999999996
0.6899999999999996,0.6899999999999996,0.978279740156158,0.6791438999999997,0.6899999999999995
0.6999999999999997,0.6999999999999997,0.9823888693511343,0.7137729999999998,0.6999999999999997
0.7899999999999997,0.7899999999999997,0.9908024289054806,0.7798050999999997,0.7899999999999996
0.7999999999999996,0.7999999999999996,0.9916644782889019,0.8128899999999997,0.7999999999999996
0.8899999999999996,0.8899999999999996,0.9963311604331162,0.8804124999999998,0.8899999999999997
0.8999999999999995,0.8999999999999995,0.9969435713093294,0.9121049999999995,0.8999999999999995
0.9899999999999994,0.9899999999999994,0.9989007630265381,0.9809504999999996,0.9899999999999993
