x,y,quantum_beta,classical_beta
-1.0,0.11036383235143268,0.06512999999999991,0.11035999999999999
-0.95,0.11602230703635036,0.10808549999999995,0.11616349999999999
-0.9,0.12197089792217972,0.09848400000000002,0.12196799999999998
-0.85,0.128224479584618,0.12564100000000006,0.128382
-0.8,0.13479868923516647,0.11944999999999995,0.13479399999999997
-0.75,0.14170996582230444,0.14049249999999996,0.14188249999999997
-0.7000000000000001,0.14897559113742284,0.13772800000000002,0.14897399999999997
-0.65,0.1566137330283048,0.15594100000000002,0.15680799999999998
-0.6000000000000001,0.16464349082820792,0.15613999999999997,0.16464399999999998
-0.55,0.173084943114146,0.17272249999999997,0.17330199999999998
-0.5000000000000001,0.18195919791379,0.17562999999999995,0.18195499999999998
-0.4500000000000001,0.19128844548653196,0.19113599999999994,0.19152349999999996
-0.40000000000000013,0.20109601381069175,0.19663999999999998,0.20109399999999997
-0.35000000000000014,0.211406426915614,0.21142249999999996,0.21166849999999998
-0.30000000000000016,0.22224546620451532,0.21947699999999995,0.222248
-0.25000000000000017,0.23364023492142144,0.23378749999999995,0.23393499999999998
-0.20000000000000018,0.2456192259233945,0.2444159999999999,0.24561599999999995
-0.1500000000000002,0.2582123929275173,0.25847699999999996,0.25853199999999993
-0.1000000000000002,0.2714512254107878,0.271667,0.27145099999999994
-0.0500000000000002,0.2853688273502141,0.28573849999999995,0.2857254999999999
-2.220446049250313e-16,0.29999999999999993,0.33465999999999996,0.29999999999999977
0.04999999999999978,0.34999999999999976,0.3530689999999999,0.34999999999999976
0.09999999999999964,0.39999999999999963,0.4317099999999998,0.39999999999999963
0.14999999999999963,0.4499999999999996,0.4522999999999998,0.4499999999999996
0.19999999999999962,0.4999999999999996,0.4728899999999998,0.4999999999999996
0.19999999999999973,0.4999999999999997,0.5290499999999999,0.4999999999999997
0.24999999999999972,0.5499999999999997,0.5517999999999998,0.5499999999999997
0.2999999999999997,0.5999999999999996,0.5745499999999999,0.5999999999999996
0.2999999999999998,0.5999999999999999,0.6266639999999999,0.5999999999999999
0.3499999999999998,0.6499999999999998,0.651453,0.6499999999999998
0.3999999999999997,0.6999999999999997,0.7245639999999999,0.6999999999999997
0.4499999999999997,0.7499999999999997,0.7511894999999998,0.7499999999999997
0.49999999999999956,0.7999999999999996,0.8227549999999998,0.7999999999999996
0.5499999999999996,0.8499999999999996,0.8510014999999999,0.8499999999999996
0.5999999999999996,0.8999999999999997,0.8792479999999998,0.8999999999999997
0.5999999999999996,0.8999999999999997,0.9211679999999998,0.8999999999999997
0.6499999999999997,0.9499999999999997,0.9508469999999998,0.9499999999999997
0.6999999999999997,0.9999999999999998,0.9805259999999998,0.9999999999999998
0.6999999999999997,0.9999999999999998,1.0197759999999998,0.9999999999999998
0.7499999999999998,1.0499999999999998,1.050735,1.0499999999999998
0.7999999999999996,1.0999999999999996,1.1185599999999998,1.0999999999999996
0.8499999999999996,1.1499999999999997,1.1506424999999998,1.1499999999999997
0.8999999999999995,1.1999999999999995,1.2174779999999996,1.1999999999999995
0.9499999999999995,1.2499999999999996,1.2505639999999998,1.2499999999999996
0.9999999999999996,1.2999999999999996,1.2836499999999997,1.2999999999999996
