Function,RSS (classic),RSS (hybrid),RSS (full),AVG Fidelity (hybrid),AVG Fidelity (full)
Sigmoid,4.263703418803966e-06,0.01494914265949738,0.7116335108904003,0.9037166978715266,0.9037166978715266
Tanh,3.9074859649660903e-07,0.015269899253132862,1.119200886087117,0.9650637200232774,0.9650637200232774
Relu,1.6505219623398611e-31,0.05580355334927997,8.153221042420284,0.7376170844359187,0.7376170844359187
Elu,7.823467703829545e-08,0.013432473951829919,9.032214001316397,0.8834202130229428,0.8834202130229428
