x,y,full_quantum,hybrid_quantum,classical_spline
-1.0,-0.1896361676485673,0.10825317547305482,-0.23487000000000008,-0.18964
-0.91,-0.1792427327899092,0.038273277230987154,-0.15755010000000008,-0.1791937
-0.9,-0.17802910207782027,0.0,-0.20151599999999997,-0.17803200000000002
-0.81,-0.16654258013311765,0.18814991529362962,-0.15263339999999997,-0.1664868
-0.8,-0.16520131076483352,0.16461958988832404,-0.18055000000000004,-0.16520600000000002
-0.7100000000000001,-0.15250674076171047,0.20846350100197397,-0.14267350000000006,-0.15244670000000002
-0.7000000000000001,-0.15102440886257715,0.16237976320958225,-0.16227199999999997,-0.15102600000000002
-0.6100000000000001,-0.13699473927765007,0.28598445652692384,-0.1294886,-0.1369248
-0.6000000000000001,-0.13535650917179207,0.28125,-0.14386000000000002,-0.135356
-0.5100000000000001,-0.11985132635632023,0.32886820593514354,-0.11401150000000002,-0.11977160000000003
-0.5000000000000001,-0.11804080208620997,0.34903606099513557,-0.12437000000000004,-0.11804500000000001
-0.4100000000000001,-0.1009049249591042,0.41191957270200213,-0.09645920000000002,-0.10082170000000001
-0.40000000000000013,-0.09890398618930824,0.4363825013677794,-0.10336000000000001,-0.09890600000000002
-0.3100000000000001,-0.07996591313271323,0.48839061275274326,-0.07675150000000003,-0.0798719
-0.30000000000000016,-0.07775453379548466,0.4982880849719367,-0.08052300000000004,-0.07775199999999999
-0.21000000000000013,-0.05682472620894391,0.5638005797708974,-0.05476410000000004,-0.0567154
-0.20000000000000018,-0.054380774076605486,0.5819132640480023,-0.05558400000000008,-0.05438400000000004
-0.11000000000000017,-0.031249759411041564,0.6440457451726547,-0.030274200000000084,-0.03113520000000003
-0.1000000000000002,-0.028548774589212178,0.6510208329999894,-0.028332999999999997,-0.028549000000000047
-0.01000000000000019,-0.0029850498752496345,0.7195986837293409,-0.0030043000000000153,-0.002854900000000049
-2.220446049250313e-16,-6.661338147750939e-17,0.6832253471586077,0.03465999999999997,-2.220446049250313e-16
0.08999999999999979,0.08999999999999979,0.7411588266019639,0.06779619999999992,0.0899999999999998
0.09999999999999964,0.09999999999999964,0.7475546071191054,0.13170999999999983,0.09999999999999964
0.18999999999999967,0.18999999999999967,0.8118988160479113,0.16877199999999987,0.18999999999999967
0.19999999999999973,0.19999999999999973,0.8157985926379133,0.22904999999999992,0.19999999999999973
0.28999999999999976,0.28999999999999976,0.8710849915478971,0.26999999999999985,0.28999999999999976
0.2999999999999998,0.2999999999999998,0.8701034870203659,0.3266639999999999,0.2999999999999999
0.38999999999999985,0.38999999999999985,0.9050369035984113,0.3712841999999999,0.38999999999999985
0.3999999999999997,0.3999999999999997,0.9137619698258403,0.4245639999999999,0.39999999999999974
0.4899999999999997,0.4899999999999997,0.9372395471543015,0.47248989999999985,0.4899999999999997
0.49999999999999956,0.49999999999999956,0.9470864037932336,0.5227549999999999,0.4999999999999996
0.5899999999999995,0.5899999999999995,0.9600160724566021,0.5735986999999998,0.5899999999999994
0.5999999999999996,0.5999999999999996,0.9640764281813968,0.6211679999999997,0.5999999999999996
0.6899999999999996,0.6899999999999996,0.9806477052820753,0.6745901999999997,0.6899999999999995
0.6999999999999997,0.6999999999999997,0.978279740156158,0.7197759999999997,0.6999999999999997
0.7899999999999997,0.7899999999999997,0.9879646849710773,0.7755021999999998,0.7899999999999996
0.7999999999999996,0.7999999999999996,0.9891994869590258,0.8185599999999997,0.7999999999999996
0.8899999999999996,0.8899999999999996,0.9964536727189077,0.8763084999999997,0.8899999999999995
0.8999999999999995,0.8999999999999995,0.9964536727189077,0.9174779999999996,0.8999999999999995
0.9899999999999994,0.9899999999999994,0.9993894620592114,0.9770327999999997,0.9899999999999993
